query,candidate,label,category,city
where can i find a pharmacy in Aït,"Pharmacie Bab Fès صيدلية باب فاس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",medium,pharmacy,Aït
casual spa Mechouar,"Derb Hammam - casual spa in Mechouar, cuisine: nan, rated 3.6/5",high,spa,Mechouar
best restaurant Tangier good reviews,"Bar La Noblesse - casual bar in Fes, cuisine: nan, rated 3.5/5",low,restaurant,Tangier
massage Fes,"Labela spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
relax wellness Rabat,"Château de Roslane Boutique hôtel & Spa - casual spa in Iqaddar, cuisine: nan, rated 3.5/5",medium,spa,Rabat
cheap spa Meknes,"Boulangerie MEKNÈS - casual restaurant in Martil, cuisine: nan, rated 3.5/5",low,spa,Meknes
hotel Oujda,"Hotel Oujda - casual hotel in Oujda, cuisine: nan, rated 3.5/5",high,hotel,Oujda
hotel Meknes,"Café مقهى آدم - casual cafe in Rabat, cuisine: nan, rated 3.5/5",low,hotel,Meknes
relax wellness Fes,"Palais Sheherazade & spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
where can i find a pharmacy in Meknes,"Barbershop Naime - casual hairdresser in Essaouira, cuisine: nan, rated 3.5/5",low,pharmacy,Meknes
where to eat in Bni,"Restaurant - casual restaurant in Bni, cuisine: nan, rated 3.5/5",high,restaurant,Bni
good bar Rabat,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",medium,bar,Rabat
bakery in Tetouan,"Venezia iCe & Bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
spa in Meknes,"Raffaello Casablanca - casual restaurant in Casablanca, cuisine: nan, rated 3.5/5, phone available",low,spa,Meknes
pharmacy open now Marrakech,"Café  Bar Dalila - casual bar in Fes, cuisine: nan, rated 3.5/5",low,pharmacy,Marrakech
where to eat in Tangier,"Indian Spice Tangier - casual restaurant in Tangier, cuisine: nan, rated 3.5/5",high,restaurant,Tangier
cozy cafe in Tangier,"Cafe Wardat Meknes - casual cafe in Tangier, cuisine: nan, rated 3.5/5",high,cafe,Tangier
cafe near me Kénitra,"Barbershop Mido - casual hairdresser in Kénitra, cuisine: nan, rated 3.5/5",low,cafe,Kénitra
casual gym Essaouira,"Salle Tsouki Fitness & Musculation - casual gym in Essaouira, cuisine: nan, rated 3.5/5, phone available",high,gym,Essaouira
