id,name,category,subcategory,niche,city,rating,distance_km,is_open,price_level,has_website,has_instagram,description
1,Sushi Garden Rabat,restaurant,sushi,casual,Rabat,4.5,1.0,False,2,False,True,"Sushi Garden - casual restaurant in Rabat, specializing in sushi, rated 4.5/5, 1.0km away, closed"
2,Sushi Garden Fes,restaurant,sushi,casual,Fes,4.1,2.1,False,2,False,False,"Sushi Garden - casual restaurant in Fes, specializing in sushi, rated 4.1/5, 2.1km away, closed"
3,Tokyo Nights Fes,restaurant,sushi,luxury,Fes,4.1,2.6,True,3,True,True,"Tokyo Nights - luxury restaurant in Fes, specializing in sushi, rated 4.1/5, 2.6km away, open"
4,Tokyo Nights Rabat,restaurant,sushi,luxury,Rabat,3.6,3.1,True,3,False,True,"Tokyo Nights - luxury restaurant in Rabat, specializing in sushi, rated 3.6/5, 3.1km away, open"
5,Wasabi Express Marrakech,restaurant,sushi,budget,Marrakech,3.4,2.7,False,1,False,True,"Wasabi Express - budget restaurant in Marrakech, specializing in sushi, rated 3.4/5, 2.7km away, closed"
6,Wasabi Express Casablanca,restaurant,sushi,budget,Casablanca,3.7,1.1,False,1,True,False,"Wasabi Express - budget restaurant in Casablanca, specializing in sushi, rated 3.7/5, 1.1km away, closed"
7,Dar Zitoun Agadir,restaurant,moroccan,luxury,Agadir,4.1,2.9,True,3,True,True,"Dar Zitoun - luxury restaurant in Agadir, specializing in moroccan, rated 4.1/5, 2.9km away, open"
8,Dar Zitoun Rabat,restaurant,moroccan,luxury,Rabat,4.4,0.4,True,3,False,False,"Dar Zitoun - luxury restaurant in Rabat, specializing in moroccan, rated 4.4/5, 0.4km away, open"
9,Cafe Atlas Casablanca,restaurant,moroccan,casual,Casablanca,3.8,1.7,True,2,False,True,"Cafe Atlas - casual restaurant in Casablanca, specializing in moroccan, rated 3.8/5, 1.7km away, open"
10,Cafe Atlas Rabat,restaurant,moroccan,casual,Rabat,4.3,2.5,True,2,False,True,"Cafe Atlas - casual restaurant in Rabat, specializing in moroccan, rated 4.3/5, 2.5km away, open"
11,La Trattoria Fes,restaurant,italian,luxury,Fes,3.3,1.5,True,3,True,True,"La Trattoria - luxury restaurant in Fes, specializing in italian, rated 3.3/5, 1.5km away, open"
12,La Trattoria Casablanca,restaurant,italian,luxury,Casablanca,4.4,3.0,True,3,False,False,"La Trattoria - luxury restaurant in Casablanca, specializing in italian, rated 4.4/5, 3.0km away, open"
13,Pizza Roma Marrakech,restaurant,italian,budget,Marrakech,3.5,0.9,True,1,True,True,"Pizza Roma - budget restaurant in Marrakech, specializing in italian, rated 3.5/5, 0.9km away, open"
14,Pizza Roma Agadir,restaurant,italian,budget,Agadir,4.3,1.5,True,1,True,False,"Pizza Roma - budget restaurant in Agadir, specializing in italian, rated 4.3/5, 1.5km away, open"
15,Burger Palace Casablanca,restaurant,burger,budget,Casablanca,4.5,1.6,True,1,False,True,"Burger Palace - budget restaurant in Casablanca, specializing in burger, rated 4.5/5, 1.6km away, open"
16,Burger Palace Marrakech,restaurant,burger,budget,Marrakech,3.3,1.8,True,1,True,False,"Burger Palace - budget restaurant in Marrakech, specializing in burger, rated 3.3/5, 1.8km away, open"
17,Le Grill Casablanca,restaurant,french,luxury,Casablanca,4.2,1.5,True,3,True,False,"Le Grill - luxury restaurant in Casablanca, specializing in french, rated 4.2/5, 1.5km away, open"
18,Le Grill Agadir,restaurant,french,luxury,Agadir,4.1,3.3,True,3,False,True,"Le Grill - luxury restaurant in Agadir, specializing in french, rated 4.1/5, 3.3km away, open"
19,Noodle House Marrakech,restaurant,asian,casual,Marrakech,3.2,1.6,True,2,True,True,"Noodle House - casual restaurant in Marrakech, specializing in asian, rated 3.2/5, 1.6km away, open"
20,Noodle House Fes,restaurant,asian,casual,Fes,3.5,1.9,False,2,True,True,"Noodle House - casual restaurant in Fes, specializing in asian, rated 3.5/5, 1.9km away, closed"
21,Cafe Central Marrakech,cafe,coffee,casual,Marrakech,3.3,2.7,True,2,True,True,"Cafe Central - casual cafe in Marrakech, specializing in coffee, rated 3.3/5, 2.7km away, open"
22,Cafe Central Casablanca,cafe,coffee,casual,Casablanca,3.0,1.3,False,2,True,True,"Cafe Central - casual cafe in Casablanca, specializing in coffee, rated 3.0/5, 1.3km away, closed"
23,Patisserie Royale Marrakech,cafe,pastry,luxury,Marrakech,3.1,3.1,True,3,False,True,"Patisserie Royale - luxury cafe in Marrakech, specializing in pastry, rated 3.1/5, 3.1km away, open"
24,Patisserie Royale Casablanca,cafe,pastry,luxury,Casablanca,3.1,2.7,True,3,False,True,"Patisserie Royale - luxury cafe in Casablanca, specializing in pastry, rated 3.1/5, 2.7km away, open"
25,Cafe Darna Fes,cafe,coffee,budget,Fes,3.5,3.1,True,1,False,True,"Cafe Darna - budget cafe in Fes, specializing in coffee, rated 3.5/5, 3.1km away, open"
26,Cafe Darna Casablanca,cafe,coffee,budget,Casablanca,4.5,0.9,True,1,True,True,"Cafe Darna - budget cafe in Casablanca, specializing in coffee, rated 4.5/5, 0.9km away, open"
27,Royal Spa Agadir,spa,massage,luxury,Agadir,3.2,0.9,True,3,True,False,"Royal Spa - luxury spa in Agadir, specializing in massage, rated 3.2/5, 0.9km away, open"
28,Royal Spa Fes,spa,massage,luxury,Fes,3.4,0.4,True,3,False,True,"Royal Spa - luxury spa in Fes, specializing in massage, rated 3.4/5, 0.4km away, open"
29,Zen Retreat Marrakech,spa,wellness,casual,Marrakech,4.0,1.1,True,2,True,True,"Zen Retreat - casual spa in Marrakech, specializing in wellness, rated 4.0/5, 1.1km away, open"
30,Zen Retreat Rabat,spa,wellness,casual,Rabat,4.8,2.1,True,2,True,True,"Zen Retreat - casual spa in Rabat, specializing in wellness, rated 4.8/5, 2.1km away, open"
31,Hammam Palace Rabat,spa,hammam,luxury,Rabat,4.3,1.4,True,3,True,False,"Hammam Palace - luxury spa in Rabat, specializing in hammam, rated 4.3/5, 1.4km away, open"
32,Hammam Palace Fes,spa,hammam,luxury,Fes,4.3,2.3,False,3,True,True,"Hammam Palace - luxury spa in Fes, specializing in hammam, rated 4.3/5, 2.3km away, closed"
33,Urban Spa Rabat,spa,beauty,casual,Rabat,3.4,2.0,False,2,False,True,"Urban Spa - casual spa in Rabat, specializing in beauty, rated 3.4/5, 2.0km away, closed"
34,Urban Spa Casablanca,spa,beauty,casual,Casablanca,4.7,0.4,True,2,True,False,"Urban Spa - casual spa in Casablanca, specializing in beauty, rated 4.7/5, 0.4km away, open"
35,Budget Hammam Fes,spa,hammam,budget,Fes,4.9,3.3,True,1,False,True,"Budget Hammam - budget spa in Fes, specializing in hammam, rated 4.9/5, 3.3km away, open"
36,Budget Hammam Rabat,spa,hammam,budget,Rabat,3.4,1.5,False,1,False,True,"Budget Hammam - budget spa in Rabat, specializing in hammam, rated 3.4/5, 1.5km away, closed"
37,Classic Cuts Marrakech,barbershop,haircut,casual,Marrakech,3.6,2.5,True,2,True,True,"Classic Cuts - casual barbershop in Marrakech, specializing in haircut, rated 3.6/5, 2.5km away, open"
38,Classic Cuts Agadir,barbershop,haircut,casual,Agadir,4.0,0.8,True,2,False,True,"Classic Cuts - casual barbershop in Agadir, specializing in haircut, rated 4.0/5, 0.8km away, open"
39,The Barber Room Rabat,barbershop,beard,casual,Rabat,3.1,2.1,True,2,True,False,"The Barber Room - casual barbershop in Rabat, specializing in beard, rated 3.1/5, 2.1km away, open"
40,The Barber Room Marrakech,barbershop,beard,casual,Marrakech,4.9,0.5,False,2,True,True,"The Barber Room - casual barbershop in Marrakech, specializing in beard, rated 4.9/5, 0.5km away, closed"
41,Elite Barber Casablanca,barbershop,styling,luxury,Casablanca,3.2,3.1,True,3,True,True,"Elite Barber - luxury barbershop in Casablanca, specializing in styling, rated 3.2/5, 3.1km away, open"
42,Elite Barber Agadir,barbershop,styling,luxury,Agadir,3.8,2.1,True,3,True,False,"Elite Barber - luxury barbershop in Agadir, specializing in styling, rated 3.8/5, 2.1km away, open"
43,Quick Cut Marrakech,barbershop,haircut,budget,Marrakech,3.5,0.6,True,1,True,True,"Quick Cut - budget barbershop in Marrakech, specializing in haircut, rated 3.5/5, 0.6km away, open"
