query,candidate,label,mode
looking for: social media for hotels,"ProFit Casablanca - casual gym, no instagram, no video, 4.2 stars",low,leads
cheap barbershop open now,"Royal Spa - luxury spa, massage, 4.9 stars, completely different service",low,places
coffee cafe pastry luxury morning,"Patisserie Royale - luxury cafe, pastry, coffee, open morning, 4.8 stars, 5 minute walk",high,places
find me coffee cafe pastry luxury morning,"Result: Patisserie Royale - luxury cafe, pastry, coffee, open morning, 4.8 stars",high,places
potential client for gyms services,"Pulse Gym Casablanca - casual gym, has some content, partial social media, 4.0 stars",medium,leads
moroccan restaurant luxury Rabat,"Dar Zitoun - luxury moroccan restaurant in Rabat, 4.8 stars, open, 5 minute walk",high,places
find me sushi restaurant max 1km Casablanca,"Result: Sushi Garden - casual sushi restaurant, 0.9km, Casablanca, open, 4.3 stars",high,places
photography for luxury restaurants in any city,"Iron Body Rabat - casual gym, no instagram, no video, 4.0 stars, wrong business type",low,leads
digital marketing for barbershops in any city,"Riad Palace Casablanca - luxury hotel, no instagram, 4.8 stars, wrong business type",low,leads
find me wellness spa relax near me open,"Result: Zen Retreat - casual wellness spa, relaxation, 0.8km, open, 4.3 stars",high,places
luxury spa massage,"Burger Palace - budget burger restaurant, 0.5km, open",low,places
brand content creation for gyms no social media,"Iron Body Rabat - casual gym, no instagram, no video, website no, 4.0 stars",high,leads
hammam spa luxury Rabat,"Hammam Palace - luxury spa, hammam, Rabat, 4.7 stars, open",high,places
video production for luxury hotels Rabat good potential client,"Atlas Inn Casablanca - luxury hotel, no video content, has instagram, no website, 4.4 stars, clear opportunity",high,leads
reels for hotels,"Kasbah Hotel Casablanca - luxury hotel, has instagram but not active, website yes, 4.5 stars",medium,leads
french restaurant fine dining good reviews,"Le Grill - luxury french restaurant, 4.8 stars, open, city center, highly rated",high,places
french restaurant fine dining,"Le Grill - luxury french restaurant, 4.8 stars, open, city center",high,places
I offer video editing for restaurants Rabat looking for opportunities,"Casa Grill Casablanca - casual restaurant, has video content already, website yes, 4.3 stars, some potential",medium,leads
web design for gyms Casablanca no website,"FitZone Casablanca - casual gym, no website, instagram no, 4.1 stars, 67 reviews",high,leads
looking for gym fitness open early,"CrossFit Zone - gym, fitness but opens at 7am, may not be early enough",medium,places
barbershop haircut quick near me open today,"The Barber Room - barbershop, beard specialist, 1.8km, might need appointment, check availability",medium,places
hammam spa open now,"La Trattoria - luxury italian restaurant, 3km, completely different service",low,places
gym yoga open morning open now,"Sushi Garden - casual sushi restaurant, 0.9km, completely different service",low,places
wellness spa relax max 1km open,"Zen Retreat - casual wellness spa, relaxation, 0.8km, open, 4.3 stars",high,places
gym yoga near me open today,"FitLife Gym - casual gym, has yoga class but not specialized, 2km, open, check availability",medium,places
moroccan restaurant luxury Rabat,"Dar Zitoun - luxury moroccan restaurant in Rabat, 4.8 stars, open",high,places
website creation for gyms,"MoveMore Rabat - casual gym, has website, has instagram, 4.0 stars",medium,leads
digital marketing for barbershops looking for opportunities,"Sharp Cuts Rabat - casual barbershop, has website but no social media, 3.7 stars, some potential",medium,leads
